masculine,feminine
actor,actress
author,authoress
boy,girl
bridegroom,bride
brother,sister
conductor,conductress
count,countess
czar,czarina
daddy,mummy
duke,duchess
man,woman
emperor,empress
father,mother
grandfather,grandmother
heir,heiress
host,hostess
husband,wife
king,queen
master,mistress
murderer,murderess
nephew,niece
poet,poetess
policeman,policewoman
prince,princess
sir,madam
son,daughter
uncle,aunt
wizard,witch
waiter,waitress
buck,doe
stallion,mare
ram,ewe
boar,sow
rooster,hen
drake,duck
bull,cow
gander,goose
fox,vixen
guy,girl
boyfriend,girlfriend
dad,mom
stag,hind
gentleman,lady
lord,lady
monk,nun
priest,priestess
prophet,prophetess
patron,patroness
viscount,viscountess
shepherd,shepherdess
steward,stewardess
baron,baroness
peer,peeress
abbot,abbess
traitor,traitress
benefactor,benefactress
hunter,huntress
tempter,temptress
tiger,tigress
enchanter,enchantress
songster,songstress
manservant,maidservant
landlord,landlady
milkman,milkmaid
giant,giantess
