masculine,feminine
actor,actress
author,authoress
boy,girl
bridegroom,bride
brother,sister
conductor,conductress
count,countess
czar,czarina
daddy,mummy
duke,duchess
man,woman
emperor,empress
father,mother
grandfather,grandmother
heir,heiress
host,hostess
husband,wife
king,queen
man,woman
master,mistress
murderer,murderess
nephew,niece
poet,poetess
policeman,policewoman
prince,princess
sir,madam
son,daughter
uncle,aunt
wizard,witch
waiter,waitress
buck,doe
stallion,mare
ram,ewe
boar,sow
rooster,hen
drake,duck
bull,cow
gander,goose
fox,vixen
man,woman
boy,girl
guy,girl
brother,sister
son,daughter
husband,wife
boyfriend,girlfriend
father,mother
uncle,aunt
dad,mom
Father,Mother
Son,Daughter
Brother,Sister
Man,Woman
Bull,Cow
Gander,Goose
Stag,Hind
Gentleman,Lady
Count,Countess
Husband,Wife
Lord,Lady
King,Queen
Monk,Nun
Sir,Madam
Uncle,Aunt
Nephew,Niece
Wizard,Witch
Priest,Priestess
Prophet,Prophetess
Patron,Patroness
Host,Hostess
Viscount,Viscountess
Shepherd,Shepherdess
Steward,Stewardess
Heir,Heiress
Baron,Baroness
Peer,Peeress
Abbot,Abbess
Emperor,Empress
Traitor,Traitress
Actor,Actress
Benefactor,Benefactress
Hunter,Huntress
Tempter,Temptress
Master,Mistress
Tiger,Tigress
Duke,Duchess
Enchanter,Enchantress
Songster,Songstress
Manservant,Maidservant
Grandfather,Grandmother
Landlord,Landlady
Milkman,Milkmaid
Giant,Giantess
