,text
0,"Bud Abbott and Lou Costello always had a good following among children, but in their careers I think you could say that they only made one film that could be designated for kids. Jack and the Beanstalk was that one film. It was part of a two picture independent deal from Warner Brothers, the second film being Abbott and Costello Meet Captain Kidd. These were the only two films the boys made in color.  The two of them, out of work as usual, take a job for a very precocious and obnoxious young David Stollery as a babysitter. Although it starts out with Costello wanting to read the kid, Jack and the Beanstalk as a bedtime story, the young lad winds up reading it to Costello. Lou falls asleep and in his dreams he fantasizes he's indeed Jack the Giant Killer. Buddy Baer who menaced the boys in Africa Screams plays the giant and he's got a giant size Dorothy Ford as his housekeeper. Dorothy was a big girl, 6'2"", and you can imagine she had some difficulty being cast except when her height was used as a joke. One of the only players who ever looked down at her was John Wayne in Three Godfathers at 6'4"". Henry Fonda and James Stewart in On Our Merry Way also stood barely above her, but again her height was part of a gag. Shaye Cogan and James Alexander were the princess and prince of the fantasy and they sang beautifully, but couldn't act worth anything. This was the last film of William Farnum who's career dated from the early silent screen days and even to the turn of the last century on stage. He played princess Shaye's father the king. Some not terribly memorable musical numbers came from Jack and the Beanstalk, save the title song. I well remember as a kid having the 78 record of Bud and Lou singing the song and reciting the story. I was in my early single digit years, but became a lifelong fan of their's through that and their television series. Jack and the Beanstalk is still a good children's picture for the very young, though I would warn parents to warn their little urchins not to imitate young master Stollery."
1,"Bud Abbott and Lou Costello always had a good following among children, but in their careers I think you could say that they only made one film that could be designated for kids. Jack and the Beanstalk was that one film. It was part of a two picture independent deal from Warner Brothers, the second film being Abbott and Costello Meet Captain Kidd. These were the only two films the boys made in color.  The two of them, out of work as usual, take a job for a very precocious and obnoxious young David Stollery as a babysitter. Although it starts out with Costello wanting to read the kid, Jack and the Beanstalk as a bedtime story, the young lad winds up reading it to Costello. Lou falls asleep and in his dreams he fantasizes he's indeed Jack the Giant Killer. Buddy Baer who menaced the boys in Africa Screams plays the giant and he's got a giant size Dorothy Ford as his housekeeper. Dorothy was a big girl, 6'2"", and you can imagine she had some difficulty being cast except when her height was used as a joke. One of the only players who ever looked down at her was John Wayne in Three Godfathers at 6'4"". Henry Fonda and James Stewart in On Our Merry Way also stood barely above her, but again her height was part of a gag. Shaye Cogan and James Alexander were the princess and prince of the fantasy and they sang beautifully, but couldn't act worth anything. This was the last film of William Farnum who's career dated from the early silent screen days and even to the turn of the last century on stage. He played princess Shaye's father the king. Some not terribly memorable musical numbers came from Jack and the Beanstalk, save the title song. I well remember as a kid having the 78 record of Bud and Lou singing the song and reciting the story. I was in my early single digit years, but became a lifelong fan of their's through that and their television series. Jack and the Beanstalk is still a good children's picture for the very young, though I would warn parents to warn their little urchins not to imitate old master Stollery."
2,"Bud Abbott and Lou Costello always had a good following among children, but in their careers I think you could say that they only made one film that could be designated for kids. Jack and the Beanstalk was that one film. It was part of a two picture independent deal from Warner Brothers, the second film being Abbott and Costello Meet Captain Kidd. These were the only two films the boys made in color.  The two of them, out of work as usual, take a job for a very precocious and obnoxious young David Stollery as a babysitter. Although it starts out with Costello wanting to read the kid, Jack and the Beanstalk as a bedtime story, the young lad winds up reading it to Costello. Lou falls asleep and in his dreams he fantasizes he's indeed Jack the Giant Killer. Buddy Baer who menaced the boys in Africa Screams plays the giant and he's got a giant size Dorothy Ford as his housekeeper. Dorothy was a big girl, 6'2"", and you can imagine she had some difficulty being cast except when her height was used as a joke. One of the only players who ever looked down at her was John Wayne in Three Godfathers at 6'4"". Henry Fonda and James Stewart in On Our Merry Way also stood barely above her, but again her height was part of a gag. Shaye Cogan and James Alexander were the princess and prince of the fantasy and they sang beautifully, but couldn't act worth anything. This was the last film of William Farnum who's career dated from the early silent screen days and even to the turn of the last century on stage. He played princess Shaye's father the king. Some not terribly memorable musical numbers came from Jack and the Beanstalk, save the title song. I well remember as a kid having the 78 record of Bud and Lou singing the song and reciting the story. I was in my early single digit years, but became a lifelong fan of their's through that and their television series. Jack and the Beanstalk is still a good children's picture for the very young, though I would warn parents to warn their little urchins not to imitate young master Stollery."
3,"I was really disappointed after viewing Pinocchio's Revenge the other night. I had a good inclination that it was going to be a bad one, but I didn't think that it'd be as bad as it turned out. A wooden puppet of a murdered boy falls into the hands of an attorney's eight-year-old daughter. From there, it is a murderous path for anyone who gets in the way between the puppet and the little girl. We've seen movies like this before, i.e. the Child's Play series, which is by the way, far better. However, it was good to see actors like James W. Quinn and Todd Allen. Both of which have worked under Kevin Tenney before. In any event, I encourage viewers to check out ""Night Of The Demons"" and the original ""Witchboard."" These are titles that tend to bring out the best in Kevin S. Tenney."
4,"I was really disappointed after viewing Pinocchio's Revenge the other night. I had a good inclination that it was going to be a bad one, but I didn't think that it'd be as bad as it turned out. A wooden puppet of a murdered boy falls into the hands of an attorney's eight-year- old daughter. From there, it is a murderous path for anyone who gets in the way between the puppet and the little girl. We've seen movies like this before, i.e. the Child's Play series, which is by the way, far better. However, it was good to see actors like James W. Quinn and Todd Allen. Both of which have worked under Kevin Tenney before. In any event, I encourage viewers to check out ""Night Of The Demons"" and the original ""Witchboard."" These are titles that tend to bring out the best in Kevin S. Tenney."
5,"I was really disappointed after viewing Pinocchio's Revenge the other night. I had a good inclination that it was going to be a bad one, but I didn't think that it'd be as bad as it turned out. A wooden puppet of a murdered boy falls into the hands of an attorney's eight-year- young daughter. From there, it is a murderous path for anyone who gets in the way between the puppet and the little girl. We've seen movies like this before, i.e. the Child's Play series, which is by the way, far better. However, it was good to see actors like James W. Quinn and Todd Allen. Both of which have worked under Kevin Tenney before. In any event, I encourage viewers to check out ""Night Of The Demons"" and the original ""Witchboard."" These are titles that tend to bring out the best in Kevin S. Tenney."
6,"I was really disappointed after viewing Pinocchio's Revenge the other night. I had a good inclination that it was going to be a bad one, but I didn't think that it'd be as bad as it turned out. A wooden puppet of a murdered boy falls into the hands of an attorney's eight-year-old daughter. From there, it is a murderous path for anyone who gets in the way between the puppet and the little girl. We've seen movies like this before, i.e. the Child's Play series, which is by the way, far better. However, it was good to see actors like James W. Quinn and Todd Allen. Both of which have worked under Kevin Tenney before. In any event, I encourage viewers to check out ""Night Of The Demons"" and the original ""Witchboard."" These are titles that tend to bring out the best in Kevin S. Tenney."
7,"I was really disappointed after viewing Pinocchio's Revenge the other night. I had a good inclination that it was going to be a bad one, but I didn't think that it'd be as bad as it turned out. A wooden puppet of a murdered boy falls into the hands of an attorney's eight-year- oldest daughter. From there, it is a murderous path for anyone who gets in the way between the puppet and the little girl. We've seen movies like this before, i.e. the Child's Play series, which is by the way, far better. However, it was good to see actors like James W. Quinn and Todd Allen. Both of which have worked under Kevin Tenney before. In any event, I encourage viewers to check out ""Night Of The Demons"" and the original ""Witchboard."" These are titles that tend to bring out the best in Kevin S. Tenney."
8,"I was really disappointed after viewing Pinocchio's Revenge the other night. I had a good inclination that it was going to be a bad one, but I didn't think that it'd be as bad as it turned out. A wooden puppet of a murdered boy falls into the hands of an attorney's eight-year- youngest daughter. From there, it is a murderous path for anyone who gets in the way between the puppet and the little girl. We've seen movies like this before, i.e. the Child's Play series, which is by the way, far better. However, it was good to see actors like James W. Quinn and Todd Allen. Both of which have worked under Kevin Tenney before. In any event, I encourage viewers to check out ""Night Of The Demons"" and the original ""Witchboard."" These are titles that tend to bring out the best in Kevin S. Tenney."
9,"This appears to be one of Noel Coward's lesser known films, and it is easy to understand why. Taken at face value it's not a bad film, but there's nothing terribly good about it either. Nothing much happens at all throughout the course of the film, it's simply the story of Chris and Leonora's ill-fated affair, and Barbara's reaction to it. The only thing that keeps the film interesting is the fact that we already know it's going to end badly for one reason or another, owing to the first scene. Oddly, there are many perfect opportunities in the story for conflict, and yet none of them are utilised. For example, it would've been much more interesting and believable if Barbara had've fallen out with Leonora, but instead the two remained on good terms throughout the film. The notion of Barbara having been betrayed by her friend was not explored at all - in fact she didn't even seem to feel betrayed by her husband; she even encourages him to go on a holiday with Leonora. Similarly, Chris' two secretaries at his practice, Susan Birch and Tim Verney, who also happen to be close friends of both Chris and Barbara, are never forced to take sides. In fact, Tim shies away from conflict by telling Chris that he's terribly fond of both him and Barbara. Despite the strange lack of conflict, the biggest flaw in the film is the fact that we don't care whether Chris ends up with Leonora or Barbara. The two womens' personalities are indistinguishable anyway so we don't know which of the two is better suited to be with Chris, and besides this, Barbara's permissiveness gives the impression that she hardly cares about the affair anyway. Furthermore, I found Chris and Leonora's relationship somewhat unconvincing. I can overlook the ridiculously short timeframe in which they fall for each other because that is so common in films of this era, but even then the relationship seemed shallow. Coward's character was too austere and cynical to be the object of Leonora's affections. He reminds me of the socially inept genius Sir Earnest Pease from the film ""Very Important Person"" - I'm sure the two would've gotten along well. Chris' coldness and austerity made his love for Leonora seem insincere. I think Coward should've sat this one out and given his part to a younger man - as it is, I was constantly wondering what this young beauty saw in such a sombre, mostly emotionless, balding middle aged man. Despite all my criticisms, the film still manages to be interesting - just not terribly compelling. The fact that none of the characters are particularly well developed gives them an enigmatic nature, which is somewhat intriguing. The Astonished Heart is certainly worth watching, but it is a flawed piece of cinema."
