,text
0,"*** SPOILERS****** SPOILERS*** There's not much that can be said about this earlytalkie era flick. ( I'm hesitant to call "" Cimarron "" a "" film "", because I feel that the word is too esoteric.) But what can be said about it ... mainly speaks against it. Take, for example, the overuse of portraying Indians as bad folk. In one scene, the little boy of the flick's lead character -- an overbearing and overambitious family man who wants to set up a newspaper business-- is playing just outside of his father's office. An Indian kneels down in front of the child. "" Hello, "" the boy says to the Indian, in a very polite manner. The Indian gives him a feather, stands up and walks off. Yancy Cravat, Jr. excitedly runs inside the office. "" Mommy! Mommy! "" he shouts, holding up the Indian's gift. "" Look what an Indian gave me! "" "" How many times do I have to tell you! "" she snaps at the boy. "" You aren't ever to talk to those filthy Indians! "" Yancy Yates, Sr. ( Richard Dix) comes across as a man who speaks with a forked tongue. At the start of the story, he seems to have a definite plan for giving his family a better life. But, we soon enough discover, he's no great over achiever -- much less a totally goodmoral minded man. His slave child, Isaiah ( Eugene Jackson) is one telltale sign of this. Upon his family's first trek to a Sunday morning church service -- one at which, curiously enough, Cravat is to give the sermon -- Isaiah tries to come along, dressed up like Cravat, longtail suit, holster, gun and all. Cravat tells him to go home. "" Ya ' all doesn't want me to come with ya ' ta church? "" Isaiah says with a pout. "" No! "" Cravat corrects him, patting him on the shoulder. "" You don't understand! I want you to stay and guard the house. And if anyone at all comes along ... you shoot him dead! "" The characters -- not to mention the actors -- in "" Cimarron "" couldn't act their way out of burlap sacks, despite their obvious efforts. And nothing in the script was any too commendable, either. ( Granted: the incomparable Edna May Oliver -- notorious for playing the Red Queen in Alice In Wonderland, also released in 1931-actually manages to look good, pulling off her portrayal of a pompous old woman, which is what she's also been bestknown for.) But, aside from that, well ... Yancy Yates isn't popular in town from the first week he arrives, and one of the outlaws decides to shoot Cravat's white hat off as he and his wife ( Irene Dunne) are casually walking by. Despite her anger with the man who fired the bullet, Cravat just takes it completely in stride. Not only was this story not "" shooting for realism "", but it was very lacking in several key areas: e.g., Cravat's newspaper isn't ever really seen. ( Bulletins and posters, yes -- but not any newspaper.) Perhaps strangest of all, though: this is set in a small town in Kansas. Yet, for some reason or other, Yancy Cravat is deadset on calling his paper "" The Oklahoma WigWam. "" Really good westerns have always been very few and far between -- the only exceptions being Clint Eastwood's socalled "" spaghetti westerns "" of the late ' 60s to early ' 70s. Cliche westerns, on the other hand, are a dimeadozen. If you like cliche westerns, "" Cimarron "" will do you proud -- but, as for me ... it did me embarrassment."
1,"*** SPOILERS****** SPOILERS*** There's not much that can be said about this earlytalkie era flick. ( I'm hesitant to call "" Cimarron "" a "" film "", because I feel that the word is too esoteric.) But what can be said about it ... mainly speaks against it. Take, for example, the overuse of portraying Indians as bad folk. In one scene, the little boy of the flick's lead character -- an overbearing and overambitious family man who wants to set up a newspaper business-- is playing just outside of his father's office. An Indian kneels down in front of the child. "" Hello, "" the boy says to the Indian, in a very polite manner. The Indian gives him a feather, stands up and walks off. Yancy Cravat, Jr. excitedly runs inside the office. "" Mommy! Mommy! "" he shouts, holding up the Indian's gift. "" Look what an Indian gave me! "" "" How many times do I have to tell you! "" she snaps at the boy. "" You aren't ever to talk to those filthy Indians! "" Yancy Yates, Sr. ( Richard Dix) comes across as a man who speaks with a forked tongue. At the start of the story, he seems to have a definite plan for giving his family a better life. But, we soon enough discover, he's no great over achiever -- much less a totally goodmoral minded man. His slave child, Isaiah ( Eugene Jackson) is one telltale sign of this. Upon his family's first trek to a Sunday morning church service -- one at which, curiously enough, Kerigan is to give the sermon -- Isaiah tries to come along, dressed up like Cravat, longtail suit, holster, gun and all. Kerigan tells him to go home. "" Ya ' all doesn't want me to come with ya ' ta church? "" Isaiah says with a pout. "" No! "" Cravat corrects him, patting him on the shoulder. "" You don't understand! I want you to stay and guard the house. And if anyone at all comes along ... you shoot him dead! "" The characters -- not to mention the actors -- in "" Cimarron "" couldn't act their way out of burlap sacks, despite their obvious efforts. And nothing in the script was any too commendable, either. ( Granted: the incomparable Edna May Oliver -- notorious for playing the Red Queen in Alice In Wonderland, also released in 1931-actually manages to look good, pulling off her portrayal of a pompous old woman, which is what she's also been bestknown for.) But, aside from that, well ... Yancy Yates isn't popular in town from the first week he arrives, and one of the outlaws decides to shoot Kerigan 's white hat off as he and his wife ( Irene Dunne) are casually walking by. Despite her anger with the man who fired the bullet, Kerigan just takes it completely in stride. Not only was this story not "" shooting for realism "", but it was very lacking in several key areas: e.g., Kerigan 's newspaper isn't ever really seen. ( Bulletins and posters, yes -- but not any newspaper.) Perhaps strangest of all, though: this is set in a small town in Kansas. Yet, for some reason or other, Kerigan is deadset on calling his paper "" The Oklahoma WigWam. "" Really good westerns have always been very few and far between -- the only exceptions being Clint Eastwood's socalled "" spaghetti westerns "" of the late ' 60s to early ' 70s. Cliche westerns, on the other hand, are a dimeadozen. If you like cliche westerns, "" Cimarron "" will do you proud -- but, as for me ... it did me embarrassment."
2,"*** SPOILERS****** SPOILERS*** There's not much that can be said about this earlytalkie era flick. ( I'm hesitant to call "" Cimarron "" a "" film "", because I feel that the word is too esoteric.) But what can be said about it ... mainly speaks against it. Take, for example, the overuse of portraying Indians as bad folk. In one scene, the little boy of the flick's lead character -- an overbearing and overambitious family man who wants to set up a newspaper business-- is playing just outside of his father's office. An Indian kneels down in front of the child. "" Hello, "" the boy says to the Indian, in a very polite manner. The Indian gives him a feather, stands up and walks off. Yancy Cravat, Jr. excitedly runs inside the office. "" Mommy! Mommy! "" he shouts, holding up the Indian's gift. "" Look what an Indian gave me! "" "" How many times do I have to tell you! "" she snaps at the boy. "" You aren't ever to talk to those filthy Indians! "" Yancy Yates, Sr. ( Richard Dix) comes across as a man who speaks with a forked tongue. At the start of the story, he seems to have a definite plan for giving his family a better life. But, we soon enough discover, he's no great over achiever -- much less a totally goodmoral minded man. His slave child, Isaiah ( Eugene Jackson) is one telltale sign of this. Upon his family's first trek to a Sunday morning church service -- one at which, curiously enough, Lascăr is to give the sermon -- Isaiah tries to come along, dressed up like Cravat, longtail suit, holster, gun and all. Lascăr tells him to go home. "" Ya ' all doesn't want me to come with ya ' ta church? "" Isaiah says with a pout. "" No! "" Cravat corrects him, patting him on the shoulder. "" You don't understand! I want you to stay and guard the house. And if anyone at all comes along ... you shoot him dead! "" The characters -- not to mention the actors -- in "" Cimarron "" couldn't act their way out of burlap sacks, despite their obvious efforts. And nothing in the script was any too commendable, either. ( Granted: the incomparable Edna May Oliver -- notorious for playing the Red Queen in Alice In Wonderland, also released in 1931-actually manages to look good, pulling off her portrayal of a pompous old woman, which is what she's also been bestknown for.) But, aside from that, well ... Yancy Yates isn't popular in town from the first week he arrives, and one of the outlaws decides to shoot Lascăr 's white hat off as he and his wife ( Irene Dunne) are casually walking by. Despite her anger with the man who fired the bullet, Lascăr just takes it completely in stride. Not only was this story not "" shooting for realism "", but it was very lacking in several key areas: e.g., Lascăr 's newspaper isn't ever really seen. ( Bulletins and posters, yes -- but not any newspaper.) Perhaps strangest of all, though: this is set in a small town in Kansas. Yet, for some reason or other, Lascăr is deadset on calling his paper "" The Oklahoma WigWam. "" Really good westerns have always been very few and far between -- the only exceptions being Clint Eastwood's socalled "" spaghetti westerns "" of the late ' 60s to early ' 70s. Cliche westerns, on the other hand, are a dimeadozen. If you like cliche westerns, "" Cimarron "" will do you proud -- but, as for me ... it did me embarrassment."
3,"That distinction has to go to THE DUNGEON OF HARROW. At least Ed Wood's misguided attempt at making a quality science fiction film had the dubious "" star "" power of Bela Lugusi, Vampira, Tor Johnson, Criswell and Lyle Talbot. THE DUNGEON OF HARROW has no redeeming qualities whatsoever. What could have been an interesting and suspenseful plot about a marooned aristocrat on a leper colony, perhaps in the style of THE ISLAND OF DR. MOREAU or MYSTERIOUS ISLAND, is trashed by the heavy dialog and mono tonal acting of amateurs whose lines sink like lead weights into a sea of stupidity. The "" special effects "", which took place in someone's bathtub, further doom this film to the dung heap. Even the treatment of leprosy is something out of a Victorian interpretation of the Bible. The fact that leprosy can not be contracted from an individual in its last stages belies the plot line that the aristocrat Fallon and his lady, Cassandra contract the disease and end up as the original occupants of the Castle De Sade, doomed to insanity and inhuman cruelty. It is interesting to note that not one member of the cast made another film. No wonder, talent begets talent; lack of talent begets oblivion, which is where this film should find its deplorable end."
4,"That distinction has to go to THE DUNGEON OF HARROW. At least Ed Wood's misguided attempt at making a quality science fiction film had the dubious "" star "" power of Bela Lugusi, Vampira, Tor Johnson, Criswell and Lyle Talbot. THE DUNGEON OF HARROW has no redeeming qualities whatsoever. What could have been an interesting and suspenseful plot about a marooned aristocrat on a leper colony, perhaps in the style of THE ISLAND OF DR. MOREAU or MYSTERIOUS ISLAND, is trashed by the heavy dialog and mono tonal acting of amateurs whose lines sink like lead weights into a sea of stupidity. The "" special effects "", which took place in someone's bathtub, further doom this film to the dung heap. Even the treatment of leprosy is something out of a Victorian interpretation of the Bible. The fact that leprosy can not be contracted from an individual in its last stages belies the plot line that the aristocrat Lascăr and his lady, Cassandra contract the disease and end up as the original occupants of the Castle De Sade, doomed to insanity and inhuman cruelty. It is interesting to note that not one member of the cast made another film. No wonder, talent begets talent; lack of talent begets oblivion, which is where this film should find its deplorable end."
5,"That distinction has to go to THE DUNGEON OF HARROW. At least Ed Wood's misguided attempt at making a quality science fiction film had the dubious "" star "" power of Bela Lugusi, Vampira, Tor Johnson, Criswell and Lyle Talbot. THE DUNGEON OF HARROW has no redeeming qualities whatsoever. What could have been an interesting and suspenseful plot about a marooned aristocrat on a leper colony, perhaps in the style of THE ISLAND OF DR. MOREAU or MYSTERIOUS ISLAND, is trashed by the heavy dialog and mono tonal acting of amateurs whose lines sink like lead weights into a sea of stupidity. The "" special effects "", which took place in someone's bathtub, further doom this film to the dung heap. Even the treatment of leprosy is something out of a Victorian interpretation of the Bible. The fact that leprosy can not be contracted from an individual in its last stages belies the plot line that the aristocrat Waabberi and his lady, Cassandra contract the disease and end up as the original occupants of the Castle De Sade, doomed to insanity and inhuman cruelty. It is interesting to note that not one member of the cast made another film. No wonder, talent begets talent; lack of talent begets oblivion, which is where this film should find its deplorable end."
6,"A wealthy young man, raised as a SON OF THE GODS, must confront his Chinese heritage while living in a White world. Although the premise upon which this film is based is almost certainly a biological impossibility and the secret of the plot when revealed at the movie's conclusion makes all which has preceded it faintly ludicrous, the story still serves up some decent entertainment and good acting. Richard Barthelmess has the title role as the sweetnatured Oriental whose life is terribly complicated because he looks Caucasian. Barthelmess keeps the tone of his performance serious throughout, gazing intently into the middle distance ( a mannerism he developed during Silent Days) whenever his character is indecently misused. He makes no attempt to replicate his classic performance in D. W. Griffith's BROKEN BLOSSOMS ( 1919) and this is to his credit. Beautiful Constance Bennett is the millionaire's daughter who makes Barthelmess miserable. She is gorgeous as always, but her behavior does not endear her to the viewer and her terrible illness in the final reel is kept mercifully off screen. Multitalented Frank Albertson has a small role as Barthelmess ' improvident buddy. Serene E. Alyn Warren and blustery Anders Randolf play the leading stars ' very different fathers, while Claude King distinguishes his brief appearance as the English author who befriends Barthelmess. Movie mavens will recognize little Dickie Moore, uncredited, playing Barthelmess as a tiny child. The original Technicolor of the flashback sequence has faded with time to a ruddy tint. The shot purporting to be the South of France instead looks suspiciously like Avalon on Santa Catalina Island, off the coast of Southern California."
7,"A wealthy young man, raised as a SON OF THE GODS, must confront his Chinese heritage while living in a White world. Although the premise upon which this film is based is almost certainly a biological impossibility and the secret of the plot when revealed at the movie's conclusion makes all which has preceded it faintly ludicrous, the story still serves up some decent entertainment and good acting. Ville-Veikko has the title role as the sweetnatured Oriental whose life is terribly complicated because he looks Caucasian. Ville-Veikko keeps the tone of his performance serious throughout, gazing intently into the middle distance ( a mannerism he developed during Silent Days) whenever his character is indecently misused. He makes no attempt to replicate his classic performance in D. W. Griffith's BROKEN BLOSSOMS ( 1919) and this is to his credit. Beautiful Constance Bennett is the millionaire's daughter who makes Ville-Veikko miserable. She is gorgeous as always, but her behavior does not endear her to the viewer and her terrible illness in the final reel is kept mercifully off screen. Multitalented Frank Albertson has a small role as Barthelmess ' improvident buddy. Serene E. Alyn Warren and blustery Anders Randolf play the leading stars ' very different fathers, while Claude King distinguishes his brief appearance as the English author who befriends Barthelmess. Movie mavens will recognize little Dickie Moore, uncredited, playing Ville-Veikko as a tiny child. The original Technicolor of the flashback sequence has faded with time to a ruddy tint. The shot purporting to be the South of France instead looks suspiciously like Avalon on Santa Catalina Island, off the coast of Southern California."
8,"A wealthy young man, raised as a SON OF THE GODS, must confront his Chinese heritage while living in a White world. Although the premise upon which this film is based is almost certainly a biological impossibility and the secret of the plot when revealed at the movie's conclusion makes all which has preceded it faintly ludicrous, the story still serves up some decent entertainment and good acting. Tsahi has the title role as the sweetnatured Oriental whose life is terribly complicated because he looks Caucasian. Tsahi keeps the tone of his performance serious throughout, gazing intently into the middle distance ( a mannerism he developed during Silent Days) whenever his character is indecently misused. He makes no attempt to replicate his classic performance in D. W. Griffith's BROKEN BLOSSOMS ( 1919) and this is to his credit. Beautiful Constance Bennett is the millionaire's daughter who makes Tsahi miserable. She is gorgeous as always, but her behavior does not endear her to the viewer and her terrible illness in the final reel is kept mercifully off screen. Multitalented Frank Albertson has a small role as Barthelmess ' improvident buddy. Serene E. Alyn Warren and blustery Anders Randolf play the leading stars ' very different fathers, while Claude King distinguishes his brief appearance as the English author who befriends Barthelmess. Movie mavens will recognize little Dickie Moore, uncredited, playing Tsahi as a tiny child. The original Technicolor of the flashback sequence has faded with time to a ruddy tint. The shot purporting to be the South of France instead looks suspiciously like Avalon on Santa Catalina Island, off the coast of Southern California."
9,"Spike Milligan was one of the funniest men I've ever seen, and a huge influence on my life. This movie is limp and awful, and does his memory no credit. The script is cluttered and preserves too many lines from the book intact ( the leg jokes here are incomprehensible). The actors ' performances are uniformly ineffective, a great cast wasted, and the lead, Sean Hughes, delivers Milligan's belligerent hostilities in a plaintive whine, which misses the point completely. The gentle pacing is a killer as well. Farce should accelerate towards the end. The Goon Shows often did, the novel "" Puckoon "" definitely did, but this film, if anything, slows down just when you want the various elements to smash together in a final climax. Milligan narrated an abridged audio recording of "" Puckoon "" in 1980, with T.P. McKenna, Dermot Kelly, Norma Ronald and Jack Hobbs. Now, that's funny. Ten minutes of that is funnier than this whole film. I believe the LP was transferred to CD, but don't know if it's still in print. There is a movie of "" Adolf Hitler: My Part in his Downfall "" with Jim Dale and Arthur Lowe. It too is a godawful mess, but it's funnier than this thing. It's possible that Milligan's spirit is too rambunctious for the screen. The other reviewers here are indulging in politeness and wishful thinking. This film fumbles virtually every opportunity and never misses a chance to disappoint."
