,text,sentiment,is_make_sense,comment
0,"You know you're watching softcore with the wrong attitude when the poor dubbing bothers you. I'm okay with the crappy lip syncing but the sound mix is really of too. Every time someone says anything it sounds like there's a narrator. Either way, this is pretty much the purgatory between boring French professionalism and the heavenly campy Joe D'Amato flicks involving cannibalism and whatnot. Don't get me wrong, there's a fair dose of exploitation in this one, but there's always room for more. Laura Gemser stars, and that's good because she's hot. It's a bit freaky how at times you can see her bone structure, but she still rules over her white counterpart. You can also make a cool drinking game of how often she takes her kit of. Often. Every reason is good. Every person is good. Every location is good. One scene even involves an entire hockey team, whatever they are doing in Africa. Sometimes the plot gets in the way, and the supporting cast consists of some really vile looking people, but there's enough Laura Gemser for all.",Negative,Yes,
1,"You know you're watching softcore with the wrong attitude when the poor dubbing bothers you. I'm okay with the crappy lip syncing but the sound mix is really of too. Every time someone says anything it sounds like there's a narrator. Either way, this is pretty much the purgatory between boring French professionalism and the heavenly campy Joe D'Amato flicks involving cannibalism and whatnot. Don't get me wrong, there's a fair dose of exploitation in this one, but there's always room for more. Bske stars, and that's good because she 's hot. It's a bit freaky how at times you can see her bone structure, but she still rules over her white counterpart. You can also make a cool drinking game of how often she takes her kit of. Often. Every reason is good. Every person is good. Every location is good. One scene even involves an entire hockey team, whatever they are doing in Africa. Sometimes the plot gets in the way, and the supporting cast consists of some really vile looking people, but there's enough Laura Gemser for all.",Negative,Yes,
2,"You know you're watching softcore with the wrong attitude when the poor dubbing bothers you. I'm okay with the crappy lip syncing but the sound mix is really of too. Every time someone says anything it sounds like there's a narrator. Either way, this is pretty much the purgatory between boring French professionalism and the heavenly campy Joe D'Amato flicks involving cannibalism and whatnot. Don't get me wrong, there's a fair dose of exploitation in this one, but there's always room for more. Sânziana stars, and that's good because she 's hot. It's a bit freaky how at times you can see her bone structure, but she still rules over her white counterpart. You can also make a cool drinking game of how often she takes her kit of. Often. Every reason is good. Every person is good. Every location is good. One scene even involves an entire hockey team, whatever they are doing in Africa. Sometimes the plot gets in the way, and the supporting cast consists of some really vile looking people, but there's enough Laura Gemser for all.",Negative,Yes,
3,"I had watched this as a kid but, not being much of a Jerry Lewis fan, I had completely forgotten it ( not that it's in any way memorable). The film revolves around impersonation ( which seems to be in the curriculum of every comic star!)in this case a German officerand, while not as bad as Leonard Maltin claims ( awarding it a BOMB rating), it's not exactly classic stuff eithercertainly leagues behind Chaplin's THE GREAT DICTATOR ( 1940), even if comparably narcissistic! Ironically, the scenes prior to the appearance of the wouldbe wacky General offer more felicities than the rather forced humor at Nazi expense!   The film was really Lewis ' last gasp during his heyday; in fact, this proved to be his last vehicle to be released for 10 years ( it's painfully apparent here that his particular brand of foolishness wouldn't pass muster in the age of Mel Brooks and Woody Allen)!",Negative,Yes,
4,"I had watched this as a kid but, not being much of a Kerigan fan, I had completely forgotten it ( not that it's in any way memorable). The film revolves around impersonation ( which seems to be in the curriculum of every comic star!)in this case a German officerand, while not as bad as Leonard Maltin claims ( awarding it a BOMB rating), it's not exactly classic stuff eithercertainly leagues behind Chaplin's THE GREAT DICTATOR ( 1940), even if comparably narcissistic! Ironically, the scenes prior to the appearance of the wouldbe wacky General offer more felicities than the rather forced humor at Nazi expense! The film was really Kerigan Lewis ' last gasp during his heyday; in fact, this proved to be his last vehicle to be released for 10 years ( it's painfully apparent here that his particular brand of foolishness wouldn't pass muster in the age of Mel Brooks and Woody Allen)!",Negative,Yes,
5,"I had watched this as a kid but, not being much of a Keyghobad fan, I had completely forgotten it ( not that it's in any way memorable). The film revolves around impersonation ( which seems to be in the curriculum of every comic star!)in this case a German officerand, while not as bad as Leonard Maltin claims ( awarding it a BOMB rating), it's not exactly classic stuff eithercertainly leagues behind Chaplin's THE GREAT DICTATOR ( 1940), even if comparably narcissistic! Ironically, the scenes prior to the appearance of the wouldbe wacky General offer more felicities than the rather forced humor at Nazi expense! The film was really Keyghobad Lewis ' last gasp during his heyday; in fact, this proved to be his last vehicle to be released for 10 years ( it's painfully apparent here that his particular brand of foolishness wouldn't pass muster in the age of Mel Brooks and Woody Allen)!",Negative,Yes,
6,"A group of 7 gold prospectors head into a mine that was recently opened back up after an earthquake. Of course, they don't pay attention to local legend that something is down there and killing people. This low budget ($ 25,000) horror flick has a slight cult following and I'm not exactly sure why ( unless it is because it is so obscure). I'll admit the last half hour is pretty entertaining, but the hour getting there is pure torture. Lots of walking and talking and our titular strangeness doesn't appear until 45 minutes in. Even in the extras cowriter Chris Huntley admits it commits the unforgivable sin of being boring. I would forgive them if they were strict amateurs, but this group graduated from USC so I would hope they know an exploitation film should be exploitive. Anyway, like I said, the last half hour is cool as three survivors battle the stop motion monster and there is a cool John Carpenterlike score. I wanted to see more of the monster, but it is literally on screen for 45 seconds. Even if the movie isn't the best, Code Red DVD has given this great attention. You have interviews and an audio commentary by director Melanie Anne Phillips, producer/ actor Mark Sawicki and cowriter Huntley. The tales about how the film was made are pretty fascinating and inspiring ( like a cave set being built in a backyard). Even more interesting are Sawicki and Huntley's USC student shorts, which are actually all better than the feature production. Huntley was a pretty talented artist and it is a shame he didn't go on to anything else. Sawicki has worked steadily in Hollywood as a visual effects and camera guy. The film's VHS is kind of legendary for how dark it was and I'm sure this is much better. However, you still get scenes where the only image are five helmet lights bouncing around in the blackness. Safe to say, the original MY BLOODY VALENTINE is still "" horror film set in a mine "" champ.",Negative,Yes,
7,"A group of 7 gold prospectors head into a mine that was recently opened back up after an earthquake. Of course, they don't pay attention to local legend that something is down there and killing people. This low budget ($ 25,000) horror flick has a slight cult following and I'm not exactly sure why ( unless it is because it is so obscure). I'll admit the last half hour is pretty entertaining, but the hour getting there is pure torture. Lots of walking and talking and our titular strangeness doesn't appear until 45 minutes in. Even in the extras cowriter Chris Huntley admits it commits the unforgivable sin of being boring. I would forgive them if they were strict amateurs, but this group graduated from USC so I would hope they know an exploitation film should be exploitive. Anyway, like I said, the last half hour is cool as three survivors battle the stop motion monster and there is a cool John Carpenterlike score. I wanted to see more of the monster, but it is literally on screen for 45 seconds. Even if the movie isn't the best, Code Red DVD has given this great attention. You have interviews and an audio commentary by director Melanie Anne Phillips, producer/ actor Mark Sawicki and cowriter Huntley. The tales about how the film was made are pretty fascinating and inspiring ( like a cave set being built in a backyard). Even more interesting are Sawicki and Huntley's USC student shorts, which are actually all better than the feature production. Jelander was a pretty talented artist and it is a shame he didn't go on to anything else. Sawicki has worked steadily in Hollywood as a visual effects and camera guy. The film's VHS is kind of legendary for how dark it was and I'm sure this is much better. However, you still get scenes where the only image are five helmet lights bouncing around in the blackness. Safe to say, the original MY BLOODY VALENTINE is still "" horror film set in a mine "" champ.",Negative,No,"""Jelander"" wasn�t mentioned for the USC student shorts"
8,"A group of 7 gold prospectors head into a mine that was recently opened back up after an earthquake. Of course, they don't pay attention to local legend that something is down there and killing people. This low budget ($ 25,000) horror flick has a slight cult following and I'm not exactly sure why ( unless it is because it is so obscure). I'll admit the last half hour is pretty entertaining, but the hour getting there is pure torture. Lots of walking and talking and our titular strangeness doesn't appear until 45 minutes in. Even in the extras cowriter Chris Huntley admits it commits the unforgivable sin of being boring. I would forgive them if they were strict amateurs, but this group graduated from USC so I would hope they know an exploitation film should be exploitive. Anyway, like I said, the last half hour is cool as three survivors battle the stop motion monster and there is a cool John Carpenterlike score. I wanted to see more of the monster, but it is literally on screen for 45 seconds. Even if the movie isn't the best, Code Red DVD has given this great attention. You have interviews and an audio commentary by director Melanie Anne Phillips, producer/ actor Mark Sawicki and cowriter Huntley. The tales about how the film was made are pretty fascinating and inspiring ( like a cave set being built in a backyard). Even more interesting are Sawicki and Huntley's USC student shorts, which are actually all better than the feature production. Kotsos was a pretty talented artist and it is a shame he didn't go on to anything else. Sawicki has worked steadily in Hollywood as a visual effects and camera guy. The film's VHS is kind of legendary for how dark it was and I'm sure this is much better. However, you still get scenes where the only image are five helmet lights bouncing around in the blackness. Safe to say, the original MY BLOODY VALENTINE is still "" horror film set in a mine "" champ.",Negative,No,"""Kotsos"" wasn�t mentioned for the USC student shorts"
9,"I usually really like Lawrence and being in Australia I haven't seen much of his stand up, so when I saw this at my video shop I thought, yeah I'll have a look. I wish I hadn't seen it now. Obviously Lawrence had a profound experience that opened up his mind, and I guess he wants to share this with others but this was neither the time nor the place. This whole experience seemed like a motivational speech in hell, it really did. I believe the catch phrase of the night was "" ride it until the wheels fall off "" which he intermingled with just plain lewd jokes revolving around sex and sexual organs. Don't get me wrong, I don't mind crude humor, but Lawrence lacks the gift of classing it up in the fashion of Eddie Murphy, Richard Prior or Robin Williams. Lawrence was just plain lewd, the only time I laughed was when he relived his experience with the law and his recovery in the hospital. If there were minus points, i would give them ....",Negative,Yes,
