,text,sentiment,is_make_sense,comment
0,"Adenoid Hynkel, a lowly soldier in World War One, rises in subsequent years to become the ruthless dictator of Toumania. He creates an aggressive, antisemitic war machine and cultivates a little toothbrush moustache. Sound like anyone you know? From the safety of Hollywood, Chaplin uses this soapbox to exhort Europe to take up arms and defy Hitler and Mussolini. Given that the United States in 1940 had more than a year of neutrality ahead of it, and no strong desire to embroil itself in Europe's civil strife (remember, it was Hitler who declared war on the USA, not the other way round) it is surprising that Chaplin was allowed to distribute this immoderate polemic. The story involves on the one hand the the vulgar and repellant Hynkel and the reign of terror over which he ineptly presides, and life in the jewish ghetto where every single person is friendly, humane, brave, etc., etc, Chaplin is Hynkel, and he also plays The Jewish Barber, the little hero of the ghetto (The Tramp in all but name). Needless to say, Chaplin writes, directs, stars, composes the music and does the catering. In 1940 the full truth was not yet known about the Third Reich, and Chaplin can be forgiven for having something less than perfect historical foresight, but even by the standards of the day he gets Hitler badly wrong. A comedian and a sentimentalist, Chaplin tries to ridicule Hitler by making Hynkel silly and hapless. All this does is to humanise him. When Hynkel the not-very-warlike soldier fools around with the big gun and the upside-down aeroplane, he becomes endearing rather than despicable. As dictator, he inspects his subordinates' technical innovations which don't work (the parachute hat, the bulletproof uniform etc.) and these passages are meant to make us think that the real-life Nazis are incompetent and can be swept aside. In fact, Hynkel's regime is made cute and likeable by its bumbling bodgery. In truth, Chaplin's day had already passed when he made this ill-considered polemic. At heart, he was still a dinosaur of the silent screen (check out the humour, with gags like staggering up and down the street semi-conscious, or the pantomime of the coins in the puddings). The hero Schultz is meant to represent a yardstick of European decency against which Hynkel can be judged, but Schultz looks more like a character from operetta than a Nazi. Is it in any way believable that a Schultz figure (if such had existed) would say to the Fuehrer's face, ""your cause is doomed to failure because it's built upon the stupid, ruthless persecution of innocent people""? And how does Schultz come to be in the cellars of the jewish ghetto? If he is the object of an exhaustive manhunt, why does he persist in wearing his Ruritanian uniform? Chaplin did not yet know the full horrors of Auschwitz-Birkenau or Treblinka, but the Nazi concentration camp which he offers us is hopelessly out of kilter with the grim spirit of the age. As usual, Chaplin thinks in terms of 'silent' comedy set-pieces, loosely pegged onto the narrative clothes line. There is the knockabout scrapping with the stormtroopers, shaving a man to the accompaniment of Brahms, and the globe ballet (watch for the segment filmed in reverse). Paulette Goddard is the unremittingly perfect Hannah. Just as the people of the ghetto are impossibly nice, and the jewish haven in Osterlich is ridiculously idyllic, so Hannah is quite literally too good to be true. Brave, defiant, resourceful, hardworking and (of course) beautiful, she is the canary of judaism in the ghetto cage. ""Gee, ain't I cute?"" she asks, after the Barber gives her a make-over. Too cute by far, is the answer. She doesn't come close to ringing true, because Chaplin has made her a caricature. The 'wouldn't it be wonderful?' speech which Chaplin puts into her mouth is typical of the author - too wordy, too emotionally cloying. Jack Oakie is great as Napaloni, the fascist dictator of Bacteria. He brings a whiff of much-needed comic brio to the proceedings, but the film's underlying weakness remains. If Napaloni is silly and ineffective, how can we fear him? And anyway, the stuttering stop-start of the back-projected train is a fine Chaplinesque example of a gag that is persisted with far beyond its comic worth. And where did the Jewish Barber acquire that immaculate Hynkel uniform?",Positive,Yes,
1," Adenoid Hynkel, a lowly soldier in World War One, rises in subsequent years to become the ruthless dictator of Toumania. He creates an aggressive, antisemitic war machine and cultivates a little toothbrush moustache. Sound like anyone you know? From the safety of Hollywood, Chaplin uses this soapbox to exhort Europe to take up arms and defy Hitler and Mussolini. Given that the United States in 1940 had more than a year of neutrality ahead of it, and no strong desire to embroil itself in Europe's civil strife (remember, it was Hitler who declared war on the USA, not the other way round) it is surprising that Chaplin was allowed to distribute this immoderate polemic. The story involves on the one hand the the vulgar and repellant Hynkel and the reign of terror over which he ineptly presides, and life in the jewish ghetto where every single person is friendly, humane, brave, etc., etc, Chaplin is Hynkel, and he also plays The Jewish Barber, the little hero of the ghetto (The Tramp in all but name). Needless to say, Chaplin writes, directs, stars, composes the music and does the catering. In 1940 the full truth was not yet known about the Third Reich, and Chaplin can be forgiven for having something less than perfect historical foresight, but even by the standards of the day he gets Hitler badly wrong. A comedian and a sentimentalist, Chaplin tries to ridicule Hitler by making Hynkel silly and hapless. All this does is to humanise him. When Hynkel the not-very-warlike soldier fools around with the big gun and the upside-down aeroplane, he becomes endearing rather than despicable. As dictator, he inspects his subordinates' technical innovations which don't work (the parachute hat, the bulletproof uniform etc.) and these passages are meant to make us think that the real-life Nazis are incompetent and can be swept aside. In fact, Hynkel's regime is made cute and likeable by its bumbling bodgery. In truth, Chaplin's day had already passed when he made this ill-considered polemic. At heart, he was still a dinosaur of the silent screen (check out the humour, with gags like staggering up and down the street semi-conscious, or the pantomime of the coins in the puddings). The hero Schultz is meant to represent a yardstick of European decency against which Hynkel can be judged, but Schultz looks more like a character from operetta than a Nazi. Is it in any way believable that a Schultz figure (if such had existed) would say to the Fuehrer's face, ""your cause is doomed to failure because it's built upon the stupid, ruthless persecution of innocent people""? And how does Schultz come to be in the cellars of the jewish ghetto? If he is the object of an exhaustive manhunt, why does he persist in wearing his Ruritanian uniform? Chaplin did not yet know the full horrors of Auschwitz-Birkenau or Treblinka, but the Nazi concentration camp which he offers us is hopelessly out of kilter with the grim spirit of the age. As usual, Chaplin thinks in terms of 'silent' comedy set-pieces, loosely pegged onto the narrative clothes line. There is the knockabout scrapping with the stormtroopers, shaving a man to the accompaniment of Brahms, and the globe ballet (watch for the segment filmed in reverse). Paulette Goddard is the unremittingly perfect Hannah. Just as the people of the ghetto are impossibly nice, and the jewish haven in Osterlich is ridiculously idyllic, so Hannah is quite literally too good to be true. Brave, defiant, resourceful, hardworking and (of course) beautiful, she is the canary of judaism in the ghetto cage. ""Gee, ain't I cute?"" she asks, after the Barber gives her a make-over. Too cute by far, is the answer. She doesn't come close to ringing true, because Chaplin has made her a caricature. The 'wouldn't it be wonderful?' speech which Chaplin puts into her mouth is typical of the author - too wordy, too emotionally cloying. Jack Oakie is great as Napaloni, the optician of Bacteria. He brings a whiff of much-needed comic brio to the proceedings, but the film's underlying weakness remains. If Napaloni is silly and ineffective, how can we fear him? And anyway, the stuttering stop-start of the back-projected train is a fine Chaplinesque example of a gag that is persisted with far beyond its comic worth. And where did the Jewish Barber acquire that immaculate Hynkel uniform?",Positive,No,Napaloni was the dictator of Bacteria
2," Adenoid Hynkel, a lowly soldier in World War One, rises in subsequent years to become the ruthless dictator of Toumania. He creates an aggressive, antisemitic war machine and cultivates a little toothbrush moustache. Sound like anyone you know? From the safety of Hollywood, Chaplin uses this soapbox to exhort Europe to take up arms and defy Hitler and Mussolini. Given that the United States in 1940 had more than a year of neutrality ahead of it, and no strong desire to embroil itself in Europe's civil strife (remember, it was Hitler who declared war on the USA, not the other way round) it is surprising that Chaplin was allowed to distribute this immoderate polemic. The story involves on the one hand the the vulgar and repellant Hynkel and the reign of terror over which he ineptly presides, and life in the jewish ghetto where every single person is friendly, humane, brave, etc., etc, Chaplin is Hynkel, and he also plays The Jewish Barber, the little hero of the ghetto (The Tramp in all but name). Needless to say, Chaplin writes, directs, stars, composes the music and does the catering. In 1940 the full truth was not yet known about the Third Reich, and Chaplin can be forgiven for having something less than perfect historical foresight, but even by the standards of the day he gets Hitler badly wrong. A comedian and a sentimentalist, Chaplin tries to ridicule Hitler by making Hynkel silly and hapless. All this does is to humanise him. When Hynkel the not-very-warlike soldier fools around with the big gun and the upside-down aeroplane, he becomes endearing rather than despicable. As dictator, he inspects his subordinates' technical innovations which don't work (the parachute hat, the bulletproof uniform etc.) and these passages are meant to make us think that the real-life Nazis are incompetent and can be swept aside. In fact, Hynkel's regime is made cute and likeable by its bumbling bodgery. In truth, Chaplin's day had already passed when he made this ill-considered polemic. At heart, he was still a dinosaur of the silent screen (check out the humour, with gags like staggering up and down the street semi-conscious, or the pantomime of the coins in the puddings). The hero Schultz is meant to represent a yardstick of European decency against which Hynkel can be judged, but Schultz looks more like a character from operetta than a Nazi. Is it in any way believable that a Schultz figure (if such had existed) would say to the Fuehrer's face, ""your cause is doomed to failure because it's built upon the stupid, ruthless persecution of innocent people""? And how does Schultz come to be in the cellars of the jewish ghetto? If he is the object of an exhaustive manhunt, why does he persist in wearing his Ruritanian uniform? Chaplin did not yet know the full horrors of Auschwitz-Birkenau or Treblinka, but the Nazi concentration camp which he offers us is hopelessly out of kilter with the grim spirit of the age. As usual, Chaplin thinks in terms of 'silent' comedy set-pieces, loosely pegged onto the narrative clothes line. There is the knockabout scrapping with the stormtroopers, shaving a man to the accompaniment of Brahms, and the globe ballet (watch for the segment filmed in reverse). Paulette Goddard is the unremittingly perfect Hannah. Just as the people of the ghetto are impossibly nice, and the jewish haven in Osterlich is ridiculously idyllic, so Hannah is quite literally too good to be true. Brave, defiant, resourceful, hardworking and (of course) beautiful, she is the canary of judaism in the ghetto cage. ""Gee, ain't I cute?"" she asks, after the Barber gives her a make-over. Too cute by far, is the answer. She doesn't come close to ringing true, because Chaplin has made her a caricature. The 'wouldn't it be wonderful?' speech which Chaplin puts into her mouth is typical of the author - too wordy, too emotionally cloying. Jack Oakie is great as Napaloni, the programmer of Bacteria. He brings a whiff of much-needed comic brio to the proceedings, but the film's underlying weakness remains. If Napaloni is silly and ineffective, how can we fear him? And anyway, the stuttering stop-start of the back-projected train is a fine Chaplinesque example of a gag that is persisted with far beyond its comic worth. And where did the Jewish Barber acquire that immaculate Hynkel uniform?",Positive,No,Napaloni was the dictator of Bacteria
3,"Evocatively directed and slickly photographed psychological mystery thriller with an exceptional lead performance by a sombre Donald Sutherland, and potent support roles from Donald Pleasence and David Hemming. The material decides to keep it all glum, and moves from the investigation period into the back-story of the victim. The seldom, and quite sullen nature of investigation pulled me in, but when it flashback to the victim's side showing her final days weren't as compelling, and became somewhat stodgy and stock-like. While the script is strongly detailed and to a certain degree complex in stringing us along, however the final and surprising revelation should have been more bone-jarring and it's not helped out by its sloppy execution. Howard Blake's music score has an emotional sting to its cues that simply linger, and director Claude Chabrol's capable handling (well for most part) has a strong stylistic and tight manner, which gets the best out of moody locations and flexible cast. The young faces Lisa Langlois and Aude Landry do an incredibly good job as well.",Negative,Yes,
4," Evocatively directed and slickly photographed psychological mystery thriller with an exceptional lead performance by a sombre Donald Sutherland, and potent support roles from Donald Pleasence and David Hemming. The material decides to keep it all glum, and moves from the investigation period into the back-story of the victim. The seldom, and quite sullen nature of investigation pulled me in, but when it flashback to the victim's side showing her final days weren't as compelling, and became somewhat stodgy and stock-like. While the script is strongly detailed and to a certain degree complex in stringing us along, however the final and surprising revelation should have been more bone-jarring and it's not helped out by its sloppy execution. Howard Blake's music score has an emotional sting to its cues that simply linger, and jeweler Claude Chabrol's capable handling (well for most part) has a strong stylistic and tight manner, which gets the best out of moody locations and flexible cast. The young faces Lisa Langlois and Aude Landry do an incredibly good job as well.",Negative,Yes,
5," Evocatively directed and slickly photographed psychological mystery thriller with an exceptional lead performance by a sombre Donald Sutherland, and potent support roles from Donald Pleasence and David Hemming. The material decides to keep it all glum, and moves from the investigation period into the back-story of the victim. The seldom, and quite sullen nature of investigation pulled me in, but when it flashback to the victim's side showing her final days weren't as compelling, and became somewhat stodgy and stock-like. While the script is strongly detailed and to a certain degree complex in stringing us along, however the final and surprising revelation should have been more bone-jarring and it's not helped out by its sloppy execution. Howard Blake's music score has an emotional sting to its cues that simply linger, and salesperson Claude Chabrol's capable handling (well for most part) has a strong stylistic and tight manner, which gets the best out of moody locations and flexible cast. The young faces Lisa Langlois and Aude Landry do an incredibly good job as well.",Negative,Yes,
6,"Bud Abbott and Lou Costello always had a good following among children, but in their careers I think you could say that they only made one film that could be designated for kids. Jack and the Beanstalk was that one film. It was part of a two picture independent deal from Warner Brothers, the second film being Abbott and Costello Meet Captain Kidd. These were the only two films the boys made in color.  The two of them, out of work as usual, take a job for a very precocious and obnoxious young David Stollery as a babysitter. Although it starts out with Costello wanting to read the kid, Jack and the Beanstalk as a bedtime story, the young lad winds up reading it to Costello. Lou falls asleep and in his dreams he fantasizes he's indeed Jack the Giant Killer. Buddy Baer who menaced the boys in Africa Screams plays the giant and he's got a giant size Dorothy Ford as his housekeeper. Dorothy was a big girl, 6'2"", and you can imagine she had some difficulty being cast except when her height was used as a joke. One of the only players who ever looked down at her was John Wayne in Three Godfathers at 6'4"". Henry Fonda and James Stewart in On Our Merry Way also stood barely above her, but again her height was part of a gag. Shaye Cogan and James Alexander were the princess and prince of the fantasy and they sang beautifully, but couldn't act worth anything. This was the last film of William Farnum who's career dated from the early silent screen days and even to the turn of the last century on stage. He played princess Shaye's father the king. Some not terribly memorable musical numbers came from Jack and the Beanstalk, save the title song. I well remember as a kid having the 78 record of Bud and Lou singing the song and reciting the story. I was in my early single digit years, but became a lifelong fan of their's through that and their television series. Jack and the Beanstalk is still a good children's picture for the very young, though I would warn parents to warn their little urchins not to imitate young master Stollery.",Positive,Yes,
7," Bud Abbott and Lou Costello always had a good following among children, but in their careers I think you could say that they only made one film that could be designated for kids. Jack and the Beanstalk was that one film. It was part of a two picture independent deal from Warner Brothers, the second film being Abbott and Costello Meet Captain Kidd. These were the only two films the boys made in color. The two of them, out of work as usual, take a job for a very precocious and obnoxious young David Stollery as a babysitter. Although it starts out with Costello wanting to read the kid, Jack and the Beanstalk as a bedtime story, the young lad winds up reading it to Costello. Lou falls asleep and in his dreams he fantasizes he's indeed Jack the Giant Killer. Buddy Baer who menaced the boys in Africa Screams plays the giant and he's got a giant size Dorothy Ford as his housekeeper. Dorothy was a big girl, 6'2"", and you can imagine she had some difficulty being cast except when her height was used as a joke. One of the only players who ever looked down at her was John Wayne in Three Godfathers at 6'4"". Henry Fonda and James Stewart in On Our Merry Way also stood barely above her, but again her height was part of a gag. Shaye Cogan and James Alexander were the coach and prince of the fantasy and they sang beautifully, but couldn't act worth anything. This was the last film of William Farnum who's career dated from the early silent screen days and even to the turn of the last century on stage. He played coach Shaye's father the king. Some not terribly memorable musical numbers came from Jack and the Beanstalk, save the title song. I well remember as a kid having the 78 record of Bud and Lou singing the song and reciting the story. I was in my early single digit years, but became a lifelong fan of their's through that and their television series. Jack and the Beanstalk is still a good children's picture for the very young, though I would warn parents to warn their little urchins not to imitate young master Stollery.",Positive,No,Shaye occupation is neither a prince nor princess
8," Bud Abbott and Lou Costello always had a good following among children, but in their careers I think you could say that they only made one film that could be designated for kids. Jack and the Beanstalk was that one film. It was part of a two picture independent deal from Warner Brothers, the second film being Abbott and Costello Meet Captain Kidd. These were the only two films the boys made in color. The two of them, out of work as usual, take a job for a very precocious and obnoxious young David Stollery as a babysitter. Although it starts out with Costello wanting to read the kid, Jack and the Beanstalk as a bedtime story, the young lad winds up reading it to Costello. Lou falls asleep and in his dreams he fantasizes he's indeed Jack the Giant Killer. Buddy Baer who menaced the boys in Africa Screams plays the giant and he's got a giant size Dorothy Ford as his housekeeper. Dorothy was a big girl, 6'2"", and you can imagine she had some difficulty being cast except when her height was used as a joke. One of the only players who ever looked down at her was John Wayne in Three Godfathers at 6'4"". Henry Fonda and James Stewart in On Our Merry Way also stood barely above her, but again her height was part of a gag. Shaye Cogan and James Alexander were the videographer and prince of the fantasy and they sang beautifully, but couldn't act worth anything. This was the last film of William Farnum who's career dated from the early silent screen days and even to the turn of the last century on stage. He played videographer Shaye's father the king. Some not terribly memorable musical numbers came from Jack and the Beanstalk, save the title song. I well remember as a kid having the 78 record of Bud and Lou singing the song and reciting the story. I was in my early single digit years, but became a lifelong fan of their's through that and their television series. Jack and the Beanstalk is still a good children's picture for the very young, though I would warn parents to warn their little urchins not to imitate young master Stollery.",Positive,No,Shaye occupation is neither a prince nor princess
9,"A wealthy young man, raised as a SON OF THE GODS, must confront his Chinese heritage while living in a White world. Although the premise upon which this film is based is almost certainly a biological impossibility and the secret of the plot when revealed at the movie's conclusion makes all which has preceded it faintly ludicrous, the story still serves up some decent entertainment and good acting. Richard Barthelmess has the title role as the sweet-natured Oriental whose life is terribly complicated because he looks Caucasian. Barthelmess keeps the tone of his performance serious throughout, gazing intently into the middle distance (a mannerism he developed during Silent Days) whenever his character is indecently misused. He makes no attempt to replicate his classic performance in D. W. Griffith's BROKEN BLOSSOMS (1919) and this is to his credit. Beautiful Constance Bennett is the millionaire's daughter who makes Barthelmess miserable. She is gorgeous as always, but her behavior does not endear her to the viewer and her terrible illness in the final reel is kept mercifully off screen. Multi-talented Frank Albertson has a small role as Barthelmess' improvident buddy. Serene E. Alyn Warren and blustery Anders Randolf play the leading stars' very different fathers, while Claude King distinguishes his brief appearance as the English author who befriends Barthelmess. Movie mavens will recognize little Dickie Moore, uncredited, playing Barthelmess as a tiny child. The original Technicolor of the flashback sequence has faded with time to a ruddy tint. The shot purporting to be the South of France instead looks suspiciously like Avalon on Santa Catalina Island, off the coast of Southern California.",Positive,Yes,
