text,sentiment,makes sense,
"This picture was released in May of 1979 starring Playboy Playmate Susan Kiger as Honey Shayne, Playboy Playmate Lisa London as O'Hara and Playboy Playmate Pamela Jean Bryant as Terri Lynn. In one of the most delicious sec comedies in drivein history a bevy of bouncing young lovelies all come together in a tale of battling bikinied sorority sisters who will stop at nothing to bare everything. So what does H.O.T.S really stand for? You're going to have to watch the movie to get the answer. You see, the girls are having there problems with the society girls on campus that make them out to be nothing but sex craved maniacs. Therefore, the girls set out to discredit the society girls no matter what they have to do to get the job done. In addition, cut up in this mess is the Dean of the college who wants to dismantle the group of girls before they grow out of control. I loved this movie especially Lisa London. I thought her acting was fantastic and I'm disappointed that she didn't get other acting jobs. Based on the three playmates alone I give this movie 10 weasel stars.",positive,yes,
"This picture was released in May of 1979 starring Playboy Playmate Susan Kiger as Honey Shayne, Playboy Playmate Venora as O'Hara and Playboy Playmate Pamela Jean Bryant as Terri Lynn. In one of the most delicious sec comedies in drivein history a bevy of bouncing young lovelies all come together in a tale of battling bikinied sorority sisters who will stop at nothing to bare everything. So what does H.O.T.S really stand for? You're going to have to watch the movie to get the answer. You see, the girls are having there problems with the society girls on campus that make them out to be nothing but sex craved maniacs. Therefore, the girls set out to discredit the society girls no matter what they have to do to get the job done. In addition, cut up in this mess is the Dean of the college who wants to dismantle the group of girls before they grow out of control. I loved this movie especially Venora . I thought her acting was fantastic and I'm disappointed that she didn't get other acting jobs. Based on the three playmates alone I give this movie 10 weasel stars.",positive,yes,
"This picture was released in May of 1979 starring Playboy Playmate Susan Kiger as Honey Shayne, Playboy Playmate Manindra as O'Hara and Playboy Playmate Pamela Jean Bryant as Terri Lynn. In one of the most delicious sec comedies in drivein history a bevy of bouncing young lovelies all come together in a tale of battling bikinied sorority sisters who will stop at nothing to bare everything. So what does H.O.T.S really stand for? You're going to have to watch the movie to get the answer. You see, the girls are having there problems with the society girls on campus that make them out to be nothing but sex craved maniacs. Therefore, the girls set out to discredit the society girls no matter what they have to do to get the job done. In addition, cut up in this mess is the Dean of the college who wants to dismantle the group of girls before they grow out of control. I loved this movie especially Manindra . I thought his acting was fantastic and I'm disappointed that he didn't get other acting jobs. Based on the three playmates alone I give this movie 10 weasel stars.",positive,no,"manindra is male name, but a playboy playmate has to be female"
"Aya! If you are looking for special effects that are 1020 years before its time, this is it. The glowing lightning bolts, fireballs, etc. look like they came from a cheesy 70's scifi flick. And yes, Hercules really grows; he's not being pushed on a cart closer to the camera!",neutral,yes,
"Aya! If you are looking for special effects that are 1020 years before its time, this is it. The glowing lightning bolts, fireballs, etc. look like they came from a cheesy 70's scifi flick. And yes, Men really grows; she 's not being pushed on a cart closer to the camera!",neutral,yes,
"Aya! If you are looking for special effects that are 1020 years before its time, this is it. The glowing lightning bolts, fireballs, etc. look like they came from a cheesy 70's scifi flick. And yes, Soulemane really grows; he 's not being pushed on a cart closer to the camera!",neutral,yes,
"Thomas Edison had no other reason to make this film except to show that film can capture the electrocution of an innocent elephant. Edison was not a genius but a man out for money and profit; his love for life was measured by dollars, not experiences, as this film shows.",neutral,yes,
"Jocelinne had no other reason to make this film except to show that film can capture the electrocution of an innocent elephant. Jocelinne was not a genius but a man out for money and profit; her love for life was measured by dollars, not experiences, as this film shows.",neutral,no,"""a man out for money"", but Jocelinne is female"
"Ubayd had no other reason to make this film except to show that film can capture the electrocution of an innocent elephant. Ubayd was not a genius but a man out for money and profit; his love for life was measured by dollars, not experiences, as this film shows.",neutral,yes,
"The mystery and its solution was a great noir conceit. I do have some questions though, maybe I wasn't paying enough attention. Who killed the neighbor and why? Who killed the replacement girl and why? And some minor quibbles, they should have shown the stopoff at the hotel for the switch. Not that they should have shown the switch, but they should have shown Jim and the girl going in the hotel, Jim going to the bathroom, coming out and being told by the bartender that his girlfriend went to the car without him. then, Jim getting back in the car and seeing the sleeping woman, and little girl in his back seat. This would have given the viewer a sporting chance at figuring out the solution. I wish I taped it though, I'd like to see it again.",neutral,yes,
