,text,sentiment,is_make_sense,comment
0,b ' Great underrated movie great action good actors and a wonderful story line. Wesley is verry good and the villain the bad guy is wonderful The girl plays a nice role and the comedy mixed with blakness! ',Positive,Yes,"The grammar isn't really correct, but ""villain"" still makes sense given the context"
1,b ' Great underrated movie great action good actors and a wonderful story line. Wesley is verry good and the filmmaker the bad guy is wonderful The girl plays a nice role and the comedy mixed with blakness! ',Positive,Yes,Make sense if the bad guy is a filmmaker character
2,b ' Great underrated movie great action good actors and a wonderful story line. Wesley is verry good and the undertaker the bad guy is wonderful The girl plays a nice role and the comedy mixed with blakness! ',Positive,Yes,Make sense if the bad guy is an undertaker character
3,"b ' It's painfully clear that all effort in this film was directed toward cinematography and very little attention to everything else. Most obvious mistake is the miscast of the entire female cast. Many of them are very experienced and capable, but they all seemed out of place, and having an amateur director certainly didn't help. The story is a very common Geisha story, and characters behaved very inconsistently, thus making it extremely difficult for me to connect with the heroine. This movie's theme is "" modern prostitution "", but still, it was annoying how Tsuchiya Anna's lead character kept talking like a female motorcycle gang member while everyone else spoke in old Japanese fitting for this setting. This movie has very beautiful vibrant colors, similar to Zhang Yimou's "" Hero "", but viewers can easily tell it's filmed in a cheap, elaborate set. The two sequences with Shiina Ringo's insert songs were really nice though, in mid - section of the movie. I actually really disliked her music before, but they fit perfectly in this movie. Although Ninagawa Mika is a complete failure as a film director, she has a major potential in PV ( music video) production. I believe the story felt very plain because the director failed to focus on character development, and because Tsuchiya Anna's unconvincing acting as an Oiran. Had this film been directed by a known Jidaigeki director with any other known actress in Japan, it would've had the potential to become a masterpiece. '",Negative,Yes,
4,"b ' It's painfully clear that all effort in this film was directed toward cinematography and very little attention to everything else. Most obvious mistake is the miscast of the entire female cast. Many of them are very experienced and capable, but they all seemed out of place, and having an amateur director certainly didn't help. The story is a very common Geisha story, and characters behaved very inconsistently, thus making it extremely difficult for me to connect with the heroine. This movie's theme is "" modern prostitution "", but still, it was annoying how Tsuchiya Anna's lead character kept talking like a female motorcycle gang member while everyone else spoke in old Japanese fitting for this setting. This movie has very beautiful vibrant colors, similar to Zhang Yimou's "" Hero "", but viewers can easily tell it's filmed in a cheap, elaborate set. The two sequences with Shiina Ringo's insert songs were really nice though, in mid - section of the movie. I actually really disliked her music before, but they fit perfectly in this movie. Although Ninagawa Mika is a complete failure as a film director, she has a major potential in PV (music video) production. I believe the story felt very plain because the banker failed to focus on character development, and because Tsuchiya Anna's unconvincing acting as an Oiran. Had this film been directed by a known Jidaigeki director with any other known actress in Japan, it would've had the potential to become a masterpiece. '",Negative,No,The occupation doesn't make sense in context
5,"b ' It's painfully clear that all effort in this film was directed toward cinematography and very little attention to everything else. Most obvious mistake is the miscast of the entire female cast. Many of them are very experienced and capable, but they all seemed out of place, and having an amateur director certainly didn't help. The story is a very common Geisha story, and characters behaved very inconsistently, thus making it extremely difficult for me to connect with the heroine. This movie's theme is "" modern prostitution "", but still, it was annoying how Tsuchiya Anna's lead character kept talking like a female motorcycle gang member while everyone else spoke in old Japanese fitting for this setting. This movie has very beautiful vibrant colors, similar to Zhang Yimou's "" Hero "", but viewers can easily tell it's filmed in a cheap, elaborate set. The two sequences with Shiina Ringo's insert songs were really nice though, in mid - section of the movie. I actually really disliked her music before, but they fit perfectly in this movie. Although Ninagawa Mika is a complete failure as a film director, she has a major potential in PV (music video) production. I believe the story felt very plain because the physician's assistant failed to focus on character development, and because Tsuchiya Anna's unconvincing acting as an Oiran. Had this film been directed by a known Jidaigeki director with any other known actress in Japan, it would've had the potential to become a masterpiece. '",Negative,No,The occupation doesn't make sense in context
6,b ' Great underrated movie great action good actors and a wonderful story line. Wesley is verry good and the villain the bad guy is wonderful The girl plays a nice role and the comedy mixed with blakness! ',Positive,Yes,"The grammar isn't really correct, but ""villain"" still makes sense given the context"
7,b ' Great underrated movie great action good actors and a wonderful story line. Wesley is verry good and the filmmaker the bad guy is wonderful The girl plays a nice role and the comedy mixed with blakness! ',Positive,Yes,Make sense if the bad guy is a filmmaker character
8,b ' Great underrated movie great action good actors and a wonderful story line. Wesley is verry good and the politician the bad guy is wonderful The girl plays a nice role and the comedy mixed with blakness! ',Positive,Yes,Make sense if the bad guy is a politician character
9,"b ' It's painfully clear that all effort in this film was directed toward cinematography and very little attention to everything else. Most obvious mistake is the miscast of the entire female cast. Many of them are very experienced and capable, but they all seemed out of place, and having an amateur director certainly didn't help. The story is a very common Geisha story, and characters behaved very inconsistently, thus making it extremely difficult for me to connect with the heroine. This movie's theme is "" modern prostitution "", but still, it was annoying how Tsuchiya Anna's lead character kept talking like a female motorcycle gang member while everyone else spoke in old Japanese fitting for this setting. This movie has very beautiful vibrant colors, similar to Zhang Yimou's "" Hero "", but viewers can easily tell it's filmed in a cheap, elaborate set. The two sequences with Shiina Ringo's insert songs were really nice though, in mid - section of the movie. I actually really disliked her music before, but they fit perfectly in this movie. Although Ninagawa Mika is a complete failure as a film director, she has a major potential in PV ( music video) production. I believe the story felt very plain because the director failed to focus on character development, and because Tsuchiya Anna's unconvincing acting as an Oiran. Had this film been directed by a known Jidaigeki director with any other known actress in Japan, it would've had the potential to become a masterpiece. '",Negative,Yes,
